ProductID;ProductName;Price;CategoryID;Class;ModifyDate;Resistant;IsAllergic;VitalityDays;CategoryName
7;Table Cloth - 53x69 Colour;31,837;9;Medium;02/24/2017 15:14;Durable;False;0;Poultry
18;Lamb - Whole, Fresh;23,3966;10;Medium;12/19/2017 16:45;Unknown;False;0;Snails
31;Yeast Dry - Fermipan;73,9851;2;Medium;04/17/2017 23:33;Durable;False;0;Shell fish
37;Nut - Pistachio, Shelled;80,3171;7;Low;02/27/2017 14:01;Unknown;False;0;Meat
38;Sage - Ground;81,6579;6;High;09/26/2017 0:45;Weak;False;0;Seafood
42;Bread - Raisin Walnut Oval;81,0488;1;High;04/01/2018 8:39;Weak;False;0;Confections
46;Lambcasing;86,7915;9;High;07/12/2017 21:27;Durable;False;0;Poultry
47;Thyme - Lemon, Fresh;47,1339;9;High;02/16/2018 2:50;Weak;False;0;Poultry
49;Bacardi Breezer - Tropical;61,4317;8;High;01/03/2017 12:21;Durable;False;0;Grain
52;Turnip - White, Organic;55,6059;1;Low;06/27/2017 6:39;Durable;False;0;Confections
56;Chips Potato Salt Vinegar 43g;46,4033;9;Low;10/10/2017 18:13;Weak;False;0;Poultry
59;Pastry - Butterscotch Baked;73,5389;10;High;04/08/2017 9:15;Unknown;False;0;Snails
65;Brandy - Bar;21,1106;3;High;04/14/2017 10:38;Weak;False;0;Cereals
66;Pie Filling - Cherry;9,8823;7;Medium;05/06/2018 2:33;Weak;False;0;Meat
72;Bar - Granola Trail Mix Fruit Nut;62,2603;4;High;10/13/2017 13:17;Durable;False;0;Dairy
77;Potatoes - Idaho 100 Count;11,4971;9;Medium;02/04/2018 0:28;Durable;False;0;Poultry
84;Peas - Frozen;90,3019;1;Medium;08/25/2017 17:19;Durable;False;0;Confections
86;Longos - Grilled Chicken With;18,3791;2;Low;02/28/2018 16:54;Weak;False;0;Shell fish
87;Wine - Pinot Noir Latour;3,7847;7;Low;04/02/2017 2:46;Unknown;False;0;Meat
96;Cheese - Bocconcini;62,1993;7;High;07/07/2017 5:12;Unknown;False;0;Meat
98;Shrimp - 31/40;99,8755;3;High;01/07/2017 20:56;Weak;False;0;Cereals
102;Rosemary - Primerba, Paste;62,257;4;High;06/14/2017 23:06;Unknown;False;0;Dairy
104;Tia Maria;98,2471;5;High;01/04/2018 20:59;Unknown;False;0;Beverages
107;Bread - French Baquette;7,4151;1;High;02/10/2017 11:45;Weak;False;0;Confections
109;Muffin - Zero Transfat;49,3791;1;Medium;02/15/2018 8:20;Durable;False;0;Confections
